symptom_id,essential_oil_id,posology
1,1,"Pour adultes et adolescents. Par voie cutanée, 2 gouttes de Menthe Poivrée dans une huile végétale en massage sur les tempes et le front, dès que nécessaire. (Attention aux yeux !)"
2,2,"Réservée aux + de 6 ans. Par voie orale, 1 goutte pure de Mélisse sur un comprimé neutre à laisser fondre en bouche pour une meilleure diffusion pendant la crise.Par voie cutanée, diluez 1 goutte de Mélisse dans 9 gouttes d'huile végétale et appliquez sur le ventre."
2,18,"Dès 3 ans et pour adultes. Par voie cutanée, 1 goutte d'huile essentielle de chanvre dans 4 gouttes d'huile végétale à appliquer sur le ventre 3 fois par jour."
3,3,"Adultes et adolescentes.
Voie orale : 1 goutte pure d'huile essentielle d'Estragon sous la langue.Voie cutanée : 1 goutte dans 4 gouttes d'huile végétale en massage sur le ventre. À renouveler toutes les heures jusqu'à amélioration."
3,19,"Pour adolescentes & adultes: Par voie orale, 1 goutte sur un comprimé neutre
Par voie cutanée, 1 goutte dans 4 gouttes d'huile végétale en massage sur le ventre. À renouveler toutes les heures jusqu'à amélioration."
4,4,"Dès 6 ans et pour adultes: Voie cutanée : 3 gouttes de Ravintsara à répartir dans le bas du dos, le long de la colonne vertébrale et sur le thorax, 4 à 5 fois par jour, jusqu’à amélioration.Voie orale : 1 goutte de Ravintsara dans une cuillère à café de miel ou d’huile d’olive ou sur un sucre, 4 fois par jour, jusqu’à amélioration. De 3 mois à 6 ans, et pour les femmes enceintes de plus de 3 mois. Même utilisation que ci-dessus, mais en privilégiant la voie cutanée, et en diluant l'huile essentielle de Ravintsara à 10 % dans une huile végétale, idéalement l'huile de Noisette (1 dose d'huile essentielle + 9 doses d'huile végétale)."
4,20,"Dès 3 ans. Par voie cutanée, 1 goutte d'Eucalyptus Radiata dans 4 gouttes d'huile végétale en massage sur le thorax et la gorge, 3 fois par jour jusqu’à amélioration. Dès 3 mois. Par voie cutanée, 1 goutte d'Eucalyptus Radiata dans 9 gouttes d'huile végétale en massage sur le thorax et la gorge, 3 fois par jour jusqu’à amélioration."
5,5,"Réservée aux + de 6 ans. Par voie cutanée, 1 goutte d'Eucalyptus Globulus dans 4 gouttes d'huile végétale à appliquer sur le thorax 4 fois par jour pendant 5 à 7 jours."
5,10,"À partir de 3 ans. Par voie cutanée, 1 goutte de Tea Tree dans 4 gouttes d'huile végétale à appliquer sur le thorax 4 fois par jour pendant 5 à 7 jours. Dès 3 mois et pour les femmes enceintes de plus de 3 mois. Par voie cutanée, 1 goutte d'huile essentielle de Tea Tree diluée dans 9 gouttes d'huile végétale à appliquer sur le thorax 4 fois par jour pendant 5 à 7 jours."
6,6,"Réservée aux + de 6 ans. Par voie cutanée, 1 goutte d'huile essentielle de Néroli dans 4 gouttes d'huile végétale à appliquer sur la face interne des poignets et sur le thorax, matin et soir. Faire une semaine de pause au bout de trois semaines d'utilisation. Issue de la même plante que l'huile essentielle de Petit Grain Bigarade, mais plus subtile et de rendement plus faible, l'huile essentielle de Néroli reste très chère… En cas de déprime, si vous préférez une alternative plus économique, l'huile essentielle de Petit Grain Bigarade peut être utile."
6,4,"Dès 3 ans & pour adultes. Par voie cutanée & inhalation, 2 gouttes de Ravintsara sur les poignets et respirer profondément, régulièrement dans la journée. Si cela s'avère insuffisant, vous pouvez vous masser le bas de la colonne vertébrale avec 4 gouttes d'huile essentielle de Ravintsara pure, 2 fois par jour. Ne vous contentez cependant pas des huiles essentielles, faites-vous aider par des amis ou un professionnel pour vous aider à dépasser vos difficultés."
7,7,
7,21,
8,1,
8,3,
9,8,"Dès 3 ans et pour adultes. Par voie cutanée, 1 goutte de Géranium Rosat dans 4 gouttes d'huile végétale sur les zones affectées, 2 fois par jour, pendant 3 semaines maximum. Faire une pause d'une semaine avant de reprendre si nécessaire."
9,22,"Réservée aux adultes et adolescents. Par voie cutanée, appliquer 1 goutte de Nard de l'Himalaya dans 4 gouttes d'huile végétale sur les zones affectées, 2 fois par jour, pendant 3 semaines maximum. Faire une pause d'une semaine avant de reprendre si nécessaire. Pour les enfants de + de 6 ans, demander un avis médical avant utilisation."
